route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
00501,BGPREVOZ,501,Petlovo brdo - Staro Kijevo,3,,0098DA,FFFFFF,0,,
90002,BGPREVOZ,E2,Petlovo brdo - Trg republike,3,,00A859,FFFFFF,0,,
90003,BGPREVOZ,E6,Mirijevo 4 - Novi Beograd /Blok 45/,3,,00A859,FFFFFF,0,,
50015,BGPREVOZ,15N,Trg Republike - Zemun /Novi Grad/,3,,3E4095,FFFFFF,0,,
50026,BGPREVOZ,26N,Dorćol/Dunavska/ - Braće Jerković,3,,3E4095,FFFFFF,0,,
50032,BGPREVOZ,32N,Trg Republike - Višnjica,3,,3E4095,FFFFFF,0,,
50037,BGPREVOZ,37N,Trg Republike - Kneževac,3,,3E4095,FFFFFF,0,,
50056,BGPREVOZ,56N,Trg Republike - Petlovo brdo -  Rušanj,3,,3E4095,FFFFFF,0,,
50202,BGPREVOZ,202N,Trg Republike - Veliko Selo,3,,3E4095,FFFFFF,0,,
50401,BGPREVOZ,401N,Dorćol/Dunavska/ - Pinosava,3,,3E4095,FFFFFF,0,,
50603,BGPREVOZ,603N,Trg Republike - Ugrinovci,3,,3E4095,FFFFFF,0,,
51301,BGPREVOZ,301Na,Kaluđerica - Grocka,3,,3E4095,FFFFFF,0,,
50047,BGPREVOZ,47N,Trg Republike - Resnik /Železnička Stanica/,3,,3E4095,FFFFFF,0,,
52047,BGPREVOZ,47Na,Trg Slavija - Resnik /Železnička Stanica/,3,,3E4095,FFFFFF,0,,
51304,BGPREVOZ,304Na,Trg Republike - Kaluđerice,3,,3E4095,FFFFFF,0,,
52304,BGPREVOZ,304Nb,Trg Republike - Ritopek,3,,3E4095,FFFFFF,0,,
52511,BGPREVOZ,511Nb,Studentski trg - Novi Železnik,3,,3E4095,FFFFFF,0,,
50706,BGPREVOZ,706N,Trg Republike - Batajnica,3,,3E4095,FFFFFF,0,,
51603,BGPREVOZ,603Na,Trg Republike - Ugrinovci,3,,3E4095,FFFFFF,0,,
00063,BGPREVOZ,63,Ustanička - Lešće /groblje/,3,,0098da,ffffff,0,,
10105,BGPREVOZ,105L,Zemun (Bačka) - Ovča (železnička stanica),3,,0098da,ffffff,0,,
00607,BGPREVOZ,607,Banovo Brdo - Aerodrom Nikola Tesla,3,,0098da,ffffff,0,,
00002,BGPREVOZ,2,Pristanište - Vukov spomenik - Pristanište,0,,ED3237,FFFFFF,0,,
00014,BGPREVOZ,14,Ustanička - Banjica,0,,ED3237,FFFFFF,0,,
00019,BGPREVOZ,19,Trg Slavija - Konjarnik,11,,F58634,FFFFFF,0,,
00022,BGPREVOZ,22,Trg Slavija - Kruševačka,11,,F58634,FFFFFF,0,,
40101,BGPREVOZ,EKO1,Vukov spomenik - Naselje Belvil,3,,0098DA,FFFFFF,0,,
10032,BGPREVOZ,32E,Trg Republike - Višnjica,3,,0098DA,FFFFFF,0,,
00043,BGPREVOZ,43,Trg Republike - Kotež,3,,0098DA,FFFFFF,0,,
00065,BGPREVOZ,65,Zvezdara 2 - Novo Bežanijsko Groblje,3,,0098DA,FFFFFF,0,,
